Feature,Importance
Late_delivery_risk,0.6534822603689666
Shipping_Duration,0.0906471008874996
High_Value_Order,0.07991778289772654
Sales,0.07876893626631602
Estimated_Freight_Cost,0.0666833603584069
Order Item Product Price,0.028105464690851737
Order Item Quantity,0.0023950945302325345
